Date,Time,Company,Price,Change
2024-08-21,10:40:08.260782,Tata Steel Ltd.,152.95,-0.97 (-0.63%)
2024-08-21,10:40:08.260782,ICICI Bank Ltd.,"1,172.55",-7.05 (-0.60%)
2024-08-21,10:40:08.260782,Infosys Ltd.,"1,872.80",0.20 (0.01%)

2024-08-21,18:29:59.712584,Tata Steel Ltd.,151.90,-2.01 (-1.31%)
2024-08-21,18:29:59.712584,ICICI Bank Ltd.,"1,174.70",-4.60 (-0.39%)
2024-08-21,18:29:59.712584,Infosys Ltd.,"1,872.25",0.50 (0.03%)

2024-08-21,18:31:17.766126,Tata Steel Ltd.,151.90,-2.01 (-1.31%)
2024-08-21,18:31:17.766126,ICICI Bank Ltd.,"1,174.70",-4.60 (-0.39%)
2024-08-21,18:31:17.766126,Infosys Ltd.,"1,872.25",0.50 (0.03%)

2024-08-21,18:32:31.734889,Tata Steel Ltd.,151.90,-2.01 (-1.31%)
2024-08-21,18:32:31.734889,ICICI Bank Ltd.,"1,174.70",-4.60 (-0.39%)
2024-08-21,18:32:31.734889,Infosys Ltd.,"1,872.25",0.50 (0.03%)
2024-08-21,18:32:31.734889,Tech Mahindra Ltd.,"1,605.45",-23.95 (-1.47%)

